intervention_id,provider_name, pdu_ref_id,status
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,redcar-cleveland-and-middlesbrough,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,stockton-and-hartlepool,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78,,sunderland,
c5363bae-bd0c-45be-816f-01863cf6396d,,bedfordshire,
c5363bae-bd0c-45be-816f-01863cf6396d,,cambridgeshire,
c5363bae-bd0c-45be-816f-01863cf6396d,,essex-north,
c5363bae-bd0c-45be-816f-01863cf6396d,,essex-south,
c5363bae-bd0c-45be-816f-01863cf6396d,,hertfordshire,
c5363bae-bd0c-45be-816f-01863cf6396d,,norfolk,
c5363bae-bd0c-45be-816f-01863cf6396d,,northamptonshire,
c5363bae-bd0c-45be-816f-01863cf6396d,,suffolk,
c5363bae-bd0c-45be-816f-01863cf6396d,,county-durham-and-darlington,
c5363bae-bd0c-45be-816f-01863cf6396d,,gateshead-and-south-tyneside,
c5363bae-bd0c-45be-816f-01863cf6396d,,newcastle-upon-tyne,
c5363bae-bd0c-45be-816f-01863cf6396d,,north-tyneside-and-northumberland,
c5363bae-bd0c-45be-816f-01863cf6396d,,redcar-cleveland-and-middlesbrough,
c5363bae-bd0c-45be-816f-01863cf6396d,,stockton-and-hartlepool,
c5363bae-bd0c-45be-816f-01863cf6396d,,sunderland,
c5363bae-bd0c-45be-816f-01863cf6396d,,cardiff-and-the-vale,
c5363bae-bd0c-45be-816f-01863cf6396d,,cwm-taf-morgannwg,
c5363bae-bd0c-45be-816f-01863cf6396d,,dyfed-powys,
c5363bae-bd0c-45be-816f-01863cf6396d,,gwent,
c5363bae-bd0c-45be-816f-01863cf6396d,,north-wales,
c5363bae-bd0c-45be-816f-01863cf6396d,,swansea-neath-and-port-talbot,
27e06a72-1015-4784-85cb-f144e4292a90,,bedfordshire,
27e06a72-1015-4784-85cb-f144e4292a90,,northamptonshire,
27e06a72-1015-4784-85cb-f144e4292a90,,cardiff-and-the-vale,
27e06a72-1015-4784-85cb-f144e4292a90,,cwm-taf-morgannwg,
27e06a72-1015-4784-85cb-f144e4292a90,,dyfed-powys,
27e06a72-1015-4784-85cb-f144e4292a90,,gwent,
27e06a72-1015-4784-85cb-f144e4292a90,,north-wales,
27e06a72-1015-4784-85cb-f144e4292a90,,swansea-neath-and-port-talbot,
c5458e4a-02ee-4e2c-a927-5c96df19fb68,,bedfordshire,
c5458e4a-02ee-4e2c-a927-5c96df19fb68,,cambridgeshire,
c5458e4a-02ee-4e2c-a927-5c96df19fb68,,essex-north,
c5458e4a-02ee-4e2c-a927-5c96df19fb68,,essex-south,
c5458e4a-02ee-4e2c-a927-5c96df19fb68,,hertfordshire,
c5458e4a-02ee-4e2c-a927-5c96df19fb68,,norfolk,
c5458e4a-02ee-4e2c-a927-5c96df19fb68,,northamptonshire,
c5458e4a-02ee-4e2c-a927-5c96df19fb68,,suffolk,
74f348fd-d46b-4419-b5f6-13db825d5465,,bedfordshire,
74f348fd-d46b-4419-b5f6-13db825d5465,,cambridgeshire,
74f348fd-d46b-4419-b5f6-13db825d5465,,hertfordshire,
74f348fd-d46b-4419-b5f6-13db825d5465,,northamptonshire,
74f348fd-d46b-4419-b5f6-13db825d5465,,cardiff-and-the-vale,
74f348fd-d46b-4419-b5f6-13db825d5465,,cwm-taf-morgannwg,
74f348fd-d46b-4419-b5f6-13db825d5465,,dyfed-powys,
74f348fd-d46b-4419-b5f6-13db825d5465,,gwent,
74f348fd-d46b-4419-b5f6-13db825d5465,,north-wales,
74f348fd-d46b-4419-b5f6-13db825d5465,,swansea-neath-and-port-talbot,
e06974e6-4d6c-4db0-bc75-da85671956a8,,bedfordshire,
e06974e6-4d6c-4db0-bc75-da85671956a8,,cambridgeshire,
e06974e6-4d6c-4db0-bc75-da85671956a8,,essex-north,
e06974e6-4d6c-4db0-bc75-da85671956a8,,essex-south,
e06974e6-4d6c-4db0-bc75-da85671956a8,,hertfordshire,
e06974e6-4d6c-4db0-bc75-da85671956a8,,norfolk,
e06974e6-4d6c-4db0-bc75-da85671956a8,,northamptonshire,
e06974e6-4d6c-4db0-bc75-da85671956a8,,suffolk,
e06974e6-4d6c-4db0-bc75-da85671956a8,,county-durham-and-darlington,
e06974e6-4d6c-4db0-bc75-da85671956a8,,gateshead-and-south-tyneside,
