intervention_id, intervention_catalogue_id,status
64dd8872-1814-42d3-9bd9-93679b368f6c, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
788671c6-b1f1-41bb-a6c5-aaed8356269f, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
8dea8f2e-2fa6-44d0-93e9-ab5d0903084b, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
d39051f2-d1d4-4967-ba31-a394e0bfd328, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
2d898791-38f1-4c69-9ab8-bb38539d8c1f, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
88939945-6d05-4d0a-a23b-3b9f7382be07, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
f488d55f-9d75-4dcf-9e5c-d3fd4d2d9f0a, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
de6a64c7-93ed-45b6-b261-5813e064578c, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
a295d1d5-d35e-42fe-be26-6e1b90325ed0, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
2eba236e-2c78-41b1-b64b-c358c536ae4e, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
96a74e8b-3b4a-46b4-89c7-f20534b15a0f, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
66929e9e-2faf-45bd-969d-af76ed782621, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
61e5fdec-2907-4291-a2c8-dbbc78729040, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
5c6e569e-f202-46a8-9a18-8f46633a748d, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
950b6f78-910a-47b4-ad86-e7203434c68c, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
2d9018bb-df44-4f4f-b9de-d89323a445c5, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
14f2eefa-5280-4276-bcf5-ebfed8fc558e, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
33e536e0-cdb2-4385-a5ab-f617e87635f5, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
2a4b94f7-0e38-44a5-a330-8caf7bd1ee60, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
6a7109e0-ec7b-4180-8aa7-0468b13055f3, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
bdabfee5-4aa2-4695-ba08-588e537ea3da, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
d3c492fa-bffb-4b73-aadb-c9f61fecf0a6, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
61e9550a-30c7-47a2-8f28-478dfec2d2ee, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
6f2632ec-a5c3-4767-a701-df4ee314f5b4, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
2fdfbddf-97bf-4479-84df-6f8102ba0329, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
9f55da6f-4a64-4736-8586-36cc4cb147f5, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
92b22475-9708-4ad5-9052-d77b74c8b206, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
55e39330-f0a5-4bd6-b383-535b9188c0e2, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
215751a3-c09d-43ae-aedf-eec1c1ff6f68, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
37d8924e-e5fc-400b-8b59-aed4336f91e4, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
fd4beacb-cb18-4a24-b5c7-903bb66b8317, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
2b38132c-a34b-4653-a8e0-7f7f1e649bd6, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
3a455c85-5b58-489b-9302-b186ec683d87, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
64fa326c-5029-4a63-9906-5392f164c6ad, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
4fc56ed4-8a62-478d-ac83-3d5acd3d48e4, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
aa166112-d4aa-42d8-9f7a-4e78693df509, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
3013e917-be40-48af-8091-ed23331c0f4b, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
989d1748-c61e-4e66-9fc4-62118e4cd114, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
6a7e673e-9110-45f1-b491-950e10c8fc13, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
8c19e4af-8783-4e71-bfe5-21d849c24bb9, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
8edacb61-ba49-413a-a6d0-8315563c2a29, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
2a5ab460-6e33-4676-9584-1cb99d7664b0, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
db5b1db9-df3f-4276-ac7f-e5475dac8a35, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
205aa08f-9edb-421b-bc17-10069c9ee914, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
297e3494-6584-4ac3-8644-3691dae6e328, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
fda19dd9-d59f-4518-b6ff-dd6a71221a73, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
2368c1cf-c274-4ea2-83c6-c1fd1b9a44fa, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
c3851ac1-e016-4741-97cf-5fe3b7853b87, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
bc72c9ff-c3ce-4e21-af07-b3d4905346ee, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
